Employee_ID,Age,Department,Years_Experience,Salary,Remote_Worker,Performance_Score,Attrition
EMP_0001,30.0,IT,,57266,No,High,Yes
EMP_0002,,Marketing,7.0,83526,No,Low,No
EMP_0003,40.0,Sales,3.0,51889,No,Low,No
EMP_0004,35.0,IT,2.0,64335,No,Medium,Yes
EMP_0005,25.0,Sales,2.0,51254,Yes,Low,No
EMP_0006,25.0,IT,7.0,51442,Yes,Low,No
EMP_0007,22.0,HR,5.0,86289,No,Medium,No
EMP_0008,50.0,Sales,2.0,93747,Yes,High,No
EMP_0009,35.0,Sales,2.0,77327,No,Medium,Yes
EMP_0010,40.0,Marketing,1.0,56199,Yes,High,No
EMP_0011,22.0,Sales,5.0,112827,No,Medium,No
EMP_0012,,Sales,7.0,40112,No,High,No
EMP_0013,45.0,HR,2.0,59581,No,Medium,No
EMP_0014,25.0,Sales,1.0,99722,Yes,High,No
EMP_0015,25.0,HR,1.0,56523,Yes,Medium,No
EMP_0016,25.0,HR,,106960,No,High,No
EMP_0017,30.0,HR,2.0,59552,No,Medium,No
EMP_0018,35.0,HR,7.0,50808,Yes,Low,No
EMP_0019,30.0,IT,5.0,112525,Yes,High,No
EMP_0020,25.0,Marketing,3.0,63620,Yes,Medium,No
EMP_0021,35.0,IT,2.0,40887,Yes,High,No
EMP_0022,25.0,Sales,1.0,71802,Yes,High,Yes
EMP_0023,25.0,IT,5.0,66049,No,Medium,No
EMP_0024,30.0,IT,7.0,117789,Yes,High,No
EMP_0025,30.0,Sales,5.0,47846,No,Medium,No
EMP_0026,45.0,Sales,3.0,86220,No,Low,No
EMP_0027,25.0,Sales,1.0,86163,Yes,High,No
EMP_0028,35.0,IT,,43765,Yes,Low,No
EMP_0029,35.0,IT,7.0,85270,No,High,No
EMP_0030,22.0,Sales,2.0,115277,Yes,High,No
EMP_0031,35.0,Marketing,,62931,No,High,Yes
EMP_0032,25.0,Marketing,5.0,95633,Yes,Medium,No
EMP_0033,22.0,HR,5.0,91913,Yes,Low,No
EMP_0034,50.0,Sales,7.0,65991,Yes,High,No
EMP_0035,,HR,10.0,94845,No,Medium,Yes
EMP_0036,45.0,Marketing,5.0,95312,Yes,High,No
EMP_0037,30.0,HR,1.0,50561,No,Medium,Yes
EMP_0038,22.0,Sales,2.0,56901,Yes,High,No
EMP_0039,40.0,Sales,15.0,102875,No,Low,Yes
EMP_0040,30.0,Sales,2.0,65917,Yes,Low,No
EMP_0041,25.0,IT,3.0,102120,No,High,No
EMP_0042,30.0,HR,3.0,41988,No,Medium,Yes
EMP_0043,22.0,Marketing,3.0,54256,No,High,No
EMP_0044,50.0,Marketing,5.0,68230,No,Medium,No
EMP_0045,25.0,Marketing,15.0,99778,No,High,No
EMP_0046,40.0,IT,2.0,85833,No,Medium,No
EMP_0047,30.0,IT,1.0,62625,Yes,Low,No
EMP_0048,35.0,Sales,2.0,72088,No,High,No
EMP_0049,35.0,Marketing,10.0,119650,No,Low,No
EMP_0050,25.0,IT,5.0,81167,No,Low,Yes
EMP_0051,,Sales,2.0,111291,Yes,High,No
EMP_0052,45.0,Marketing,10.0,105303,Yes,High,No
EMP_0053,50.0,HR,10.0,116361,Yes,Medium,No
EMP_0054,50.0,Sales,10.0,44117,No,Medium,Yes
EMP_0055,35.0,IT,15.0,100710,Yes,Low,No
EMP_0056,50.0,IT,2.0,107054,Yes,Medium,No
EMP_0057,22.0,Sales,7.0,70949,No,Medium,No
EMP_0058,25.0,Sales,3.0,62547,No,High,No
EMP_0059,22.0,IT,10.0,108136,Yes,Medium,No
EMP_0060,30.0,HR,7.0,104619,No,Low,No
EMP_0061,30.0,Marketing,7.0,101842,No,Medium,No
EMP_0062,25.0,HR,5.0,66990,No,Low,No
EMP_0063,45.0,Sales,2.0,56193,No,High,No
EMP_0064,30.0,HR,3.0,70109,Yes,Low,No
EMP_0065,25.0,IT,,59233,No,Medium,Yes
EMP_0066,35.0,Sales,15.0,74510,Yes,High,Yes
EMP_0067,25.0,Marketing,1.0,41306,Yes,Medium,No
EMP_0068,45.0,IT,2.0,43849,Yes,High,Yes
EMP_0069,22.0,IT,1.0,52360,Yes,High,No
EMP_0070,,Marketing,7.0,85800,No,Medium,No
EMP_0071,45.0,Marketing,10.0,76963,No,Medium,Yes
EMP_0072,25.0,HR,2.0,94330,No,High,No
EMP_0073,22.0,Sales,3.0,91707,Yes,High,No
EMP_0074,45.0,Marketing,10.0,58689,Yes,Medium,No
EMP_0075,40.0,Marketing,7.0,69084,Yes,Low,No
EMP_0076,40.0,Sales,3.0,80387,No,Medium,Yes
EMP_0077,45.0,Marketing,5.0,114816,Yes,High,No
EMP_0078,22.0,Marketing,3.0,42642,No,Medium,Yes
EMP_0079,30.0,HR,2.0,82137,No,Low,No
EMP_0080,25.0,IT,5.0,119832,No,Medium,No
EMP_0081,50.0,IT,5.0,95561,No,High,No
EMP_0082,35.0,IT,10.0,102260,Yes,Medium,No
EMP_0083,30.0,IT,5.0,55438,No,High,No
EMP_0084,22.0,Marketing,7.0,88442,Yes,High,No
EMP_0085,30.0,Sales,2.0,42994,No,Medium,No
EMP_0086,30.0,Sales,3.0,41813,Yes,High,No
EMP_0087,40.0,HR,1.0,95276,Yes,High,No
EMP_0088,35.0,HR,2.0,81243,No,Low,Yes
EMP_0089,50.0,Marketing,7.0,102912,No,Low,No
EMP_0090,30.0,Sales,,100272,No,Low,Yes
EMP_0091,25.0,Sales,1.0,82051,Yes,Low,No
EMP_0092,40.0,IT,3.0,118854,No,High,No
EMP_0093,45.0,Marketing,10.0,105618,No,Medium,No
EMP_0094,35.0,Marketing,2.0,41920,Yes,High,No
EMP_0095,45.0,IT,5.0,117219,No,High,No
EMP_0096,30.0,Marketing,7.0,116872,Yes,High,No
EMP_0097,35.0,Marketing,5.0,42093,No,Medium,Yes
EMP_0098,30.0,HR,2.0,52905,Yes,Low,No
EMP_0099,22.0,Sales,3.0,64351,Yes,High,No
EMP_0100,25.0,Marketing,7.0,70981,No,High,No
EMP_0101,22.0,HR,5.0,113903,Yes,Low,No
EMP_0102,35.0,Sales,1.0,110821,No,High,No
EMP_0103,30.0,IT,7.0,118513,No,Medium,No
EMP_0104,35.0,HR,1.0,59874,Yes,High,No
EMP_0105,50.0,HR,7.0,90931,No,High,No
EMP_0106,25.0,Sales,2.0,47674,Yes,Low,No
EMP_0107,30.0,IT,,90516,Yes,High,Yes
EMP_0108,45.0,HR,3.0,100686,Yes,High,No
EMP_0109,25.0,Marketing,2.0,109212,Yes,Medium,No
EMP_0110,22.0,Marketing,1.0,42426,Yes,Low,No
EMP_0111,25.0,Marketing,2.0,108498,Yes,Low,No
EMP_0112,25.0,IT,10.0,69943,Yes,Medium,No
EMP_0113,50.0,HR,,106395,Yes,High,No
EMP_0114,45.0,Marketing,3.0,84816,No,Low,No
EMP_0115,35.0,IT,3.0,44138,No,Low,Yes
EMP_0116,50.0,Marketing,7.0,115945,Yes,High,No
EMP_0117,45.0,Sales,10.0,44017,No,High,No
EMP_0118,25.0,HR,5.0,50451,No,Low,No
EMP_0119,50.0,HR,3.0,102956,No,High,No
EMP_0120,35.0,IT,3.0,50278,No,Low,No
EMP_0121,45.0,IT,5.0,83764,No,High,No
EMP_0122,50.0,HR,1.0,41134,No,High,No
EMP_0123,30.0,Marketing,5.0,102943,Yes,Medium,Yes
EMP_0124,25.0,Marketing,3.0,94318,No,High,No
EMP_0125,25.0,Sales,7.0,100128,No,Medium,No
EMP_0126,30.0,Marketing,1.0,61869,No,High,No
EMP_0127,45.0,IT,5.0,45039,No,Low,Yes
EMP_0128,50.0,IT,3.0,61281,Yes,Low,No
EMP_0129,22.0,Marketing,5.0,50442,Yes,High,Yes
EMP_0130,35.0,IT,1.0,113788,Yes,High,No
EMP_0131,30.0,HR,5.0,67586,Yes,Low,No
EMP_0132,25.0,HR,5.0,93053,No,High,No
EMP_0133,25.0,Marketing,5.0,90489,Yes,Medium,No
EMP_0134,30.0,HR,5.0,107087,Yes,Medium,No
EMP_0135,50.0,HR,5.0,52625,Yes,Medium,No
EMP_0136,30.0,Sales,10.0,74397,Yes,Medium,No
EMP_0137,35.0,Sales,2.0,98671,No,Medium,No
EMP_0138,40.0,HR,10.0,106897,Yes,High,No
EMP_0139,30.0,Marketing,3.0,66149,No,High,No
EMP_0140,,Sales,1.0,100030,Yes,Medium,No
EMP_0141,,IT,1.0,109906,No,High,Yes
EMP_0142,25.0,IT,2.0,45283,No,High,No
EMP_0143,30.0,IT,7.0,47610,Yes,Medium,No
EMP_0144,30.0,Marketing,7.0,83326,Yes,High,No
EMP_0145,25.0,HR,7.0,54924,Yes,High,No
EMP_0146,22.0,IT,3.0,116162,Yes,High,No
EMP_0147,35.0,Marketing,3.0,40869,No,Medium,No
EMP_0148,35.0,Sales,1.0,41014,No,High,Yes
EMP_0149,22.0,HR,2.0,50103,Yes,Low,No
EMP_0150,25.0,Sales,3.0,73458,Yes,Low,No
EMP_0151,50.0,Marketing,1.0,63248,No,Medium,No
EMP_0152,25.0,IT,2.0,83516,Yes,Low,No
EMP_0153,25.0,IT,5.0,69061,No,Medium,No
EMP_0154,30.0,Marketing,7.0,64170,Yes,Low,No
EMP_0155,,IT,,48024,No,Low,Yes
EMP_0156,25.0,HR,15.0,83803,No,Low,Yes
EMP_0157,40.0,Marketing,5.0,59296,No,Medium,No
EMP_0158,45.0,Sales,3.0,58257,No,Medium,No
EMP_0159,25.0,Marketing,5.0,52855,No,High,No
EMP_0160,40.0,HR,7.0,60025,Yes,Medium,No
EMP_0161,30.0,HR,1.0,44458,No,Low,Yes
EMP_0162,35.0,Marketing,3.0,103610,Yes,Low,No
EMP_0163,35.0,Marketing,10.0,110843,No,Medium,No
EMP_0164,35.0,IT,3.0,89831,No,Medium,Yes
EMP_0165,22.0,HR,5.0,83427,Yes,Medium,No
EMP_0166,45.0,Marketing,5.0,78506,Yes,High,No
EMP_0167,30.0,Marketing,2.0,45668,Yes,Low,No
EMP_0168,25.0,HR,3.0,87195,Yes,High,No
EMP_0169,22.0,Marketing,2.0,113233,No,High,No
EMP_0170,35.0,IT,1.0,64417,Yes,Low,No
EMP_0171,40.0,HR,1.0,50751,No,Low,No
EMP_0172,22.0,IT,10.0,86218,Yes,Medium,No
EMP_0173,35.0,IT,2.0,47352,Yes,Medium,No
EMP_0174,25.0,IT,3.0,119052,No,High,No
EMP_0175,35.0,IT,2.0,68927,No,Medium,No
EMP_0176,25.0,HR,15.0,81094,Yes,Medium,No
EMP_0177,40.0,IT,2.0,94122,No,Low,No
EMP_0178,30.0,IT,3.0,69493,No,Low,No
EMP_0179,50.0,Marketing,10.0,113539,No,Medium,No
EMP_0180,25.0,HR,10.0,71707,No,Low,No
EMP_0181,30.0,HR,2.0,108814,No,Medium,No
EMP_0182,25.0,Sales,10.0,47296,No,Low,No
EMP_0183,50.0,HR,3.0,65398,No,Low,No
EMP_0184,50.0,HR,3.0,75842,No,Low,No
EMP_0185,25.0,Sales,1.0,53261,Yes,Low,No
EMP_0186,40.0,HR,1.0,116709,No,Medium,No
EMP_0187,45.0,HR,7.0,96704,Yes,High,No
EMP_0188,35.0,HR,3.0,107173,No,Low,Yes
EMP_0189,35.0,HR,3.0,71781,No,Medium,No
EMP_0190,25.0,Sales,7.0,53652,No,Medium,No
EMP_0191,22.0,HR,7.0,45103,No,Low,No
EMP_0192,50.0,HR,2.0,65500,Yes,High,Yes
EMP_0193,50.0,Sales,5.0,75529,Yes,Low,Yes
EMP_0194,35.0,Marketing,1.0,58452,No,Medium,No
EMP_0195,30.0,IT,7.0,89393,Yes,High,No
EMP_0196,30.0,Marketing,5.0,71174,No,Medium,No
EMP_0197,40.0,Sales,,104450,No,Low,No
EMP_0198,50.0,IT,1.0,75436,Yes,High,No
EMP_0199,50.0,Sales,1.0,87406,Yes,Medium,No
EMP_0200,45.0,Sales,2.0,103059,No,Medium,No
EMP_0201,35.0,HR,2.0,55954,No,Medium,No
EMP_0202,22.0,IT,2.0,52356,Yes,Low,No
EMP_0203,25.0,HR,15.0,42187,No,High,Yes
EMP_0204,50.0,IT,2.0,117243,Yes,Low,Yes
EMP_0205,35.0,Sales,2.0,75098,No,Low,No
EMP_0206,22.0,Sales,7.0,61225,No,Low,No
EMP_0207,25.0,Marketing,3.0,43606,Yes,High,No
EMP_0208,40.0,IT,7.0,97620,Yes,Low,No
EMP_0209,22.0,HR,1.0,72828,Yes,Low,No
EMP_0210,25.0,Marketing,3.0,66489,No,Low,No
EMP_0211,35.0,Marketing,1.0,54387,No,Low,No
EMP_0212,40.0,Marketing,1.0,109463,No,Medium,No
EMP_0213,40.0,HR,15.0,111832,No,Low,No
EMP_0214,25.0,Marketing,1.0,42591,Yes,Medium,No
EMP_0215,40.0,HR,3.0,88516,No,Low,No
EMP_0216,25.0,Marketing,3.0,102061,No,High,No
EMP_0217,30.0,HR,2.0,106736,No,Medium,No
EMP_0218,40.0,Sales,10.0,101753,Yes,Medium,No
EMP_0219,35.0,Sales,1.0,51087,No,Medium,No
EMP_0220,45.0,Sales,5.0,70816,No,Medium,No
EMP_0221,40.0,Sales,,63408,Yes,High,No
EMP_0222,35.0,Sales,5.0,40136,No,Low,Yes
EMP_0223,22.0,Marketing,15.0,57413,No,Medium,No
EMP_0224,30.0,Marketing,1.0,99500,Yes,High,No
EMP_0225,25.0,Marketing,3.0,96358,No,Medium,Yes
EMP_0226,25.0,HR,2.0,106197,No,Low,Yes
EMP_0227,,HR,7.0,72854,No,Medium,Yes
EMP_0228,30.0,HR,,116240,Yes,High,No
EMP_0229,50.0,HR,2.0,56322,No,Low,No
EMP_0230,35.0,Sales,5.0,46968,No,High,No
EMP_0231,45.0,Sales,2.0,67518,Yes,Low,No
EMP_0232,35.0,Sales,5.0,91925,Yes,Low,No
EMP_0233,35.0,IT,3.0,99848,No,Low,No
EMP_0234,30.0,Marketing,,41700,No,Medium,No
EMP_0235,25.0,HR,5.0,63199,No,High,No
EMP_0236,40.0,HR,2.0,84589,No,High,Yes
EMP_0237,25.0,Sales,1.0,72115,Yes,High,No
EMP_0238,22.0,HR,2.0,101934,No,Low,No
EMP_0239,35.0,HR,2.0,94316,Yes,Medium,No
EMP_0240,25.0,Marketing,2.0,45520,Yes,Low,No
EMP_0241,50.0,Sales,10.0,76455,No,High,No
EMP_0242,,Marketing,5.0,81605,No,Medium,No
EMP_0243,50.0,IT,3.0,54955,Yes,Medium,No
EMP_0244,30.0,IT,1.0,84049,Yes,Medium,Yes
EMP_0245,22.0,IT,10.0,53917,No,High,No
EMP_0246,50.0,Sales,7.0,110293,Yes,Medium,No
EMP_0247,30.0,HR,1.0,118581,No,Medium,No
EMP_0248,,Sales,7.0,104925,No,Low,No
EMP_0249,,Sales,3.0,110269,Yes,Low,No
EMP_0250,50.0,HR,1.0,70954,Yes,Medium,No
EMP_0251,25.0,Marketing,3.0,112617,No,Medium,No
EMP_0252,30.0,IT,3.0,81458,Yes,Low,No
EMP_0253,50.0,Marketing,2.0,61113,No,Low,No
EMP_0254,30.0,IT,15.0,83939,No,Low,No
EMP_0255,25.0,Sales,10.0,69345,No,High,No
EMP_0256,35.0,IT,5.0,86313,Yes,High,No
EMP_0257,50.0,Sales,3.0,109166,No,Low,No
EMP_0258,40.0,Marketing,3.0,87861,No,Medium,No
EMP_0259,35.0,Sales,5.0,89298,No,Low,Yes
EMP_0260,22.0,Marketing,3.0,87221,No,High,No
EMP_0261,35.0,HR,1.0,84942,No,Medium,Yes
EMP_0262,,HR,3.0,43453,No,High,Yes
EMP_0263,25.0,HR,10.0,94935,No,Medium,No
EMP_0264,35.0,Sales,3.0,83370,No,High,No
EMP_0265,50.0,HR,1.0,48328,No,Medium,Yes
EMP_0266,40.0,IT,7.0,55534,No,Medium,No
EMP_0267,40.0,Marketing,2.0,76320,No,Medium,No
EMP_0268,40.0,Marketing,2.0,89170,Yes,Medium,No
EMP_0269,30.0,IT,2.0,48640,No,High,Yes
EMP_0270,25.0,Sales,2.0,70049,No,High,No
EMP_0271,45.0,Sales,7.0,45618,No,Medium,No
EMP_0272,45.0,Marketing,3.0,96053,Yes,Medium,No
EMP_0273,50.0,HR,2.0,41920,No,High,No
EMP_0274,50.0,Sales,10.0,83937,Yes,Medium,No
EMP_0275,35.0,Sales,10.0,109724,No,Medium,No
EMP_0276,35.0,IT,10.0,52207,No,Medium,No
EMP_0277,45.0,IT,2.0,105774,Yes,Low,No
EMP_0278,35.0,HR,3.0,72972,No,Medium,No
EMP_0279,40.0,Sales,,50799,Yes,Low,No
EMP_0280,45.0,Sales,7.0,111088,Yes,Medium,Yes
EMP_0281,50.0,IT,1.0,68916,No,High,No
EMP_0282,30.0,Sales,1.0,110463,No,Low,No
EMP_0283,30.0,Marketing,3.0,116700,No,Low,No
EMP_0284,22.0,IT,15.0,77158,No,Medium,No
EMP_0285,35.0,HR,3.0,111696,Yes,Medium,No
EMP_0286,22.0,IT,3.0,101510,Yes,Low,No
EMP_0287,30.0,Sales,1.0,98692,No,High,Yes
EMP_0288,35.0,HR,5.0,101744,Yes,High,No
EMP_0289,25.0,IT,10.0,55810,Yes,Medium,No
EMP_0290,35.0,Marketing,3.0,45126,No,High,No
EMP_0291,22.0,Marketing,7.0,70009,Yes,High,No
EMP_0292,22.0,IT,,40192,Yes,Medium,No
EMP_0293,45.0,Marketing,2.0,76413,No,High,No
EMP_0294,30.0,Marketing,3.0,52816,Yes,Medium,Yes
EMP_0295,25.0,Marketing,2.0,79082,No,Low,No
EMP_0296,35.0,HR,7.0,105048,Yes,Medium,Yes
EMP_0297,45.0,Marketing,5.0,90940,No,Low,No
EMP_0298,25.0,Marketing,5.0,72130,Yes,Low,No
EMP_0299,35.0,Marketing,7.0,80142,Yes,High,No
EMP_0300,22.0,HR,3.0,76468,No,High,No
EMP_0301,22.0,IT,15.0,70698,No,High,No
EMP_0302,35.0,Sales,3.0,50655,No,Medium,No
EMP_0303,35.0,Marketing,2.0,87897,No,High,Yes
EMP_0304,35.0,IT,5.0,70075,Yes,Low,No
EMP_0305,40.0,Marketing,7.0,49359,Yes,High,Yes
EMP_0306,,HR,2.0,82056,Yes,High,No
EMP_0307,35.0,IT,10.0,91831,No,Medium,No
EMP_0308,30.0,HR,15.0,99191,Yes,Medium,No
EMP_0309,45.0,Marketing,2.0,73272,Yes,Low,No
EMP_0310,25.0,Marketing,,54671,No,Medium,No
EMP_0311,30.0,HR,1.0,67048,No,High,No
EMP_0312,22.0,Sales,2.0,116274,Yes,Medium,No
EMP_0313,22.0,HR,2.0,65963,No,Low,No
EMP_0314,,Marketing,10.0,83954,Yes,High,No
EMP_0315,45.0,HR,5.0,112309,Yes,Low,No
EMP_0316,40.0,Sales,2.0,40717,No,Medium,No
EMP_0317,30.0,HR,3.0,51676,Yes,Medium,No
EMP_0318,25.0,Sales,5.0,44434,No,Low,No
EMP_0319,25.0,Sales,1.0,89810,No,High,Yes
EMP_0320,25.0,HR,10.0,44994,Yes,Medium,Yes
EMP_0321,35.0,HR,10.0,44234,Yes,Medium,No
EMP_0322,40.0,IT,3.0,109300,Yes,High,No
EMP_0323,40.0,Marketing,,83949,No,Medium,Yes
EMP_0324,25.0,Sales,3.0,77405,Yes,Low,No
EMP_0325,,IT,,74872,No,Medium,No
EMP_0326,40.0,HR,5.0,82215,No,Medium,No
EMP_0327,35.0,Marketing,5.0,63185,Yes,High,No
EMP_0328,35.0,IT,2.0,83442,No,Low,No
