Employee_ID,Age,Years_Experience,Salary,Attrition,Department_HR,Department_IT,Department_Marketing,Department_Sales,Remote_Worker_No,Remote_Worker_Yes,Performance_High,Performance_Low,Performance_Medium
EMP_0001,30.0,3.0,57266,Yes,0,1,0,0,1,0,True,False,False
EMP_0002,33.69500438212095,7.0,83526,No,0,0,1,0,1,0,False,True,False
EMP_0003,40.0,3.0,51889,No,0,0,0,1,1,0,False,True,False
EMP_0004,35.0,2.0,64335,Yes,0,1,0,0,1,0,False,False,True
EMP_0005,25.0,2.0,51254,No,0,0,0,1,0,1,False,True,False
EMP_0006,25.0,7.0,51442,No,0,1,0,0,0,1,False,True,False
EMP_0007,22.0,5.0,86289,No,1,0,0,0,1,0,False,False,True
EMP_0008,50.0,2.0,93747,No,0,0,0,1,0,1,True,False,False
EMP_0009,35.0,2.0,77327,Yes,0,0,0,1,1,0,False,False,True
EMP_0010,40.0,1.0,56199,No,0,0,1,0,0,1,True,False,False
EMP_0011,22.0,5.0,112827,No,0,0,0,1,1,0,False,False,True
EMP_0012,33.69500438212095,7.0,40112,No,0,0,0,1,1,0,True,False,False
EMP_0013,45.0,2.0,59581,No,1,0,0,0,1,0,False,False,True
EMP_0014,25.0,1.0,99722,No,0,0,0,1,0,1,True,False,False
EMP_0015,25.0,1.0,56523,No,1,0,0,0,0,1,False,False,True
EMP_0016,25.0,3.0,106960,No,1,0,0,0,1,0,True,False,False
EMP_0017,30.0,2.0,59552,No,1,0,0,0,1,0,False,False,True
EMP_0018,35.0,7.0,50808,No,1,0,0,0,0,1,False,True,False
EMP_0019,30.0,5.0,112525,No,0,1,0,0,0,1,True,False,False
EMP_0020,25.0,3.0,63620,No,0,0,1,0,0,1,False,False,True
EMP_0021,35.0,2.0,40887,No,0,1,0,0,0,1,True,False,False
EMP_0022,25.0,1.0,71802,Yes,0,0,0,1,0,1,True,False,False
EMP_0023,25.0,5.0,66049,No,0,1,0,0,1,0,False,False,True
EMP_0024,30.0,7.0,117789,No,0,1,0,0,0,1,True,False,False
EMP_0025,30.0,5.0,47846,No,0,0,0,1,1,0,False,False,True
EMP_0026,45.0,3.0,86220,No,0,0,0,1,1,0,False,True,False
EMP_0027,25.0,1.0,86163,No,0,0,0,1,0,1,True,False,False
EMP_0028,35.0,3.0,43765,No,0,1,0,0,0,1,False,True,False
EMP_0029,35.0,7.0,85270,No,0,1,0,0,1,0,True,False,False
EMP_0030,22.0,2.0,115277,No,0,0,0,1,0,1,True,False,False
EMP_0031,35.0,3.0,62931,Yes,0,0,1,0,1,0,True,False,False
EMP_0032,25.0,5.0,95633,No,0,0,1,0,0,1,False,False,True
EMP_0033,22.0,5.0,91913,No,1,0,0,0,0,1,False,True,False
EMP_0034,50.0,7.0,65991,No,0,0,0,1,0,1,True,False,False
EMP_0035,33.69500438212095,10.0,94845,Yes,1,0,0,0,1,0,False,False,True
EMP_0036,45.0,5.0,95312,No,0,0,1,0,0,1,True,False,False
EMP_0037,30.0,1.0,50561,Yes,1,0,0,0,1,0,False,False,True
EMP_0038,22.0,2.0,56901,No,0,0,0,1,0,1,True,False,False
EMP_0039,40.0,15.0,102875,Yes,0,0,0,1,1,0,False,True,False
EMP_0040,30.0,2.0,65917,No,0,0,0,1,0,1,False,True,False
EMP_0041,25.0,3.0,102120,No,0,1,0,0,1,0,True,False,False
EMP_0042,30.0,3.0,41988,Yes,1,0,0,0,1,0,False,False,True
EMP_0043,22.0,3.0,54256,No,0,0,1,0,1,0,True,False,False
EMP_0044,50.0,5.0,68230,No,0,0,1,0,1,0,False,False,True
EMP_0045,25.0,15.0,99778,No,0,0,1,0,1,0,True,False,False
EMP_0046,40.0,2.0,85833,No,0,1,0,0,1,0,False,False,True
EMP_0047,30.0,1.0,62625,No,0,1,0,0,0,1,False,True,False
EMP_0048,35.0,2.0,72088,No,0,0,0,1,1,0,True,False,False
EMP_0049,35.0,10.0,119650,No,0,0,1,0,1,0,False,True,False
EMP_0050,25.0,5.0,81167,Yes,0,1,0,0,1,0,False,True,False
EMP_0051,33.69500438212095,2.0,111291,No,0,0,0,1,0,1,True,False,False
EMP_0052,45.0,10.0,105303,No,0,0,1,0,0,1,True,False,False
EMP_0053,50.0,10.0,116361,No,1,0,0,0,0,1,False,False,True
EMP_0054,50.0,10.0,44117,Yes,0,0,0,1,1,0,False,False,True
EMP_0055,35.0,15.0,100710,No,0,1,0,0,0,1,False,True,False
EMP_0056,50.0,2.0,107054,No,0,1,0,0,0,1,False,False,True
EMP_0057,22.0,7.0,70949,No,0,0,0,1,1,0,False,False,True
EMP_0058,25.0,3.0,62547,No,0,0,0,1,1,0,True,False,False
EMP_0059,22.0,10.0,108136,No,0,1,0,0,0,1,False,False,True
EMP_0060,30.0,7.0,104619,No,1,0,0,0,1,0,False,True,False
EMP_0061,30.0,7.0,101842,No,0,0,1,0,1,0,False,False,True
